filename,width,height,class,xmin,ymin,xmax,ymax
000000002051.jpg,640,427,checkerboard,384,273,507,410
000000027592.jpg,375,500,checkerboard,209,173,375,389
000000009915.jpg,430,640,checkerboard,69,505,230,640
000000031263.jpg,640,427,checkerboard,251,263,393,408
background0982.jpg,500,375,checkerboard,404,25,500,166
000000012330.jpg,640,461,checkerboard,284,245,398,369
000000030295.jpg,640,427,checkerboard,276,95,418,240
000000034125.jpg,500,375,checkerboard,233,219,401,375
background0724.jpg,400,300,checkerboard,171,180,321,300
000000025766.jpg,640,427,checkerboard,224,182,385,366
000000002922.jpg,500,334,checkerboard,294,137,445,289
000000024526.jpg,640,425,checkerboard,219,127,426,285
background0594.jpg,500,333,checkerboard,29,50,208,251
000000010551.jpg,640,480,checkerboard,440,267,640,480
background1385.jpg,500,375,checkerboard,132,244,333,375
000000025090.jpg,640,428,checkerboard,300,182,534,398
background2176.jpg,500,338,checkerboard,388,54,500,247
000000007959.jpg,640,480,checkerboard,148,170,368,390
000000027518.jpg,640,427,checkerboard,325,177,489,295
background1019.jpg,441,500,checkerboard,152,328,399,500
000000036387.jpg,640,427,checkerboard,76,246,230,427
background0419.jpg,500,333,checkerboard,325,15,443,137
background0192.jpg,500,375,checkerboard,400,263,480,375
000000038826.jpg,425,640,checkerboard,234,225,382,363
000000002487.jpg,640,480,checkerboard,470,14,640,218
000000027033.jpg,640,421,checkerboard,146,245,384,421
000000040249.jpg,640,427,checkerboard,476,333,640,427
000000020763.jpg,640,458,checkerboard,2,288,104,405
000000029791.jpg,640,480,checkerboard,138,316,408,480
000000018095.jpg,640,640,checkerboard,219,175,423,408
000000020314.jpg,480,640,checkerboard,366,166,480,318
background2052.jpg,500,333,checkerboard,259,18,500,262
000000017314.jpg,427,640,checkerboard,189,385,371,578
background0541.jpg,500,375,checkerboard,256,97,494,335
000000021557.jpg,500,375,checkerboard,31,224,301,375
000000013798.jpg,439,640,checkerboard,58,81,225,248
000000007101.jpg,500,375,checkerboard,384,5,500,145
background0664.jpg,500,410,checkerboard,304,138,500,345
000000005771.jpg,638,640,checkerboard,342,472,472,602
000000030834.jpg,640,480,checkerboard,403,203,577,377
background0215.jpg,350,344,checkerboard,1,166,239,344
000000027505.jpg,640,478,checkerboard,38,284,261,478
background1006.jpg,500,375,checkerboard,212,39,327,154
000000040494.jpg,640,480,checkerboard,138,247,359,468
